"swapped_region","n_swaps","mean_abs_change","median_abs_change","max_abs_change"
"Skorovatn",420,1.89012724491275e-05,1.5789854174196e-05,6.46182695019537e-05
"Tromso",420,7.83489495569356e-06,5.99206906725467e-06,3.27984188837378e-05
"Kirkenes",420,2.55618040612073e-06,8.11579168397301e-07,2.29271467928702e-05
"Lakselv",420,2.24928673661865e-06,1.77285760616913e-06,1.05683437960906e-05
"Kristiansand",420,8.56669020200287e-07,5.74112963129344e-07,3.7647723537452e-06
"Valdres",420,7.71963242424611e-07,5.9876067674093e-07,3.97801835559113e-06
"Bodo",420,7.01873873337188e-07,5.40516369720164e-07,3.23969523546983e-06
"Bergen",420,6.61067334231275e-07,5.6218171839068e-07,2.73381462564343e-06
"Setesdal",420,6.04200935639486e-07,5.25537996006542e-07,2.62794247377453e-06
"Svolvar",420,5.44048639162301e-07,3.4153426411797e-07,3.39369748469226e-06
"Trondheim",420,4.33224764372223e-07,3.39204256930483e-07,2.39365822849922e-06
"Oslo",420,1.14019067955689e-07,9.51348347229681e-08,3.87063902864942e-07
